,Address,Beds_Min,Beds_Max,Baths_Min,Baths_Max,Sqft_Min,Sqft_Max,Lat,Lon,Distance,Rent,Rent_max,Neighborhood,City,Walk Score,Transit Score,Bike Score,Population
141,3750 E Bayaud Ave,3,3,3.5,3.5,3650,3650,39.714531,-104.942859,2.099217938854558,5000,5000,Burlington Capitol Hill,,,,,
142,2552 E Alameda Ave,2,2,3.0,3.0,N/A,N/A,39.709852,-104.952938,2.1132579750086653,4500,4500,Polo Club North,,,,,
143,300 S Lafayette St,1,2,1.0,2.0,617,1216,39.710899,-104.970732,2.120605585401405,1695,2075,Fitzgeralds of Lake View,,,,,
144,1173 Birch St,3,3,4.0,4.0,N/A,N/A,39.734398,-104.936483,2.1277817146345774,3200,3200,Bellevue Park,,,,,
145,815 Cherry St Apt 102,1,1,1.0,1.0,N/A,N/A,39.729595,-104.934323,2.1993283753042125,1225,1225,Hale,Hale,71.0,48.0,77.0,6942.0
146,815 Cherry St Apt 105,1,1,1.0,1.0,N/A,N/A,39.729595,-104.934323,2.1993283753042125,1225,1225,Hale,Hale,71.0,48.0,77.0,6942.0
147,170 S Jackson St Apt 114,2,2,2.0,2.0,N/A,N/A,39.7134,-104.942232,2.227380716734745,2700,2700,Burlington Capitol Hill,,,,,
148,800 N Cherry St Unit 6,1,1,1.0,1.0,N/A,N/A,39.729433,-104.933654,2.25510884526226,1095,1095,Hale,Hale,71.0,48.0,77.0,6942.0
149,800 N Cherry St Unit 18,0,0,1.0,1.0,N/A,N/A,39.729433,-104.933654,2.25510884526226,995,995,Hale,Hale,71.0,48.0,77.0,6942.0
150,800 N Cherry St Unit 7,1,1,1.0,1.0,N/A,N/A,39.729433,-104.933654,2.25510884526226,1095,1095,Hale,Hale,71.0,48.0,77.0,6942.0
151,870 Cherry _202 St # 870,1,1,1.0,1.0,N/A,N/A,39.730457,-104.933656,2.2654426277962405,1270,1270,Hale,Hale,71.0,48.0,77.0,6942.0
152,300 S Monroe St,1,3,1.0,3.0,766,2697,39.71122,-104.94447,2.295056206500922,2184,7437,Belcaro,Belcaro,64.0,42.0,84.0,4215.0
153,225 S Harrison St,1,3,1.0,2.0,611,11107,39.71253,-104.94211,2.30611064681562,1599,3099,Burlington Capitol Hill,,,,,
154,1756 N Clarkson St Apt 402,2,2,2.0,2.0,N/A,N/A,39.744372,-104.977314,2.3437462445155397,1975,1975,North Capitol Hill,,,,,
155,1756 N Clarkson St Apt 204,1,1,1.0,1.0,N/A,N/A,39.744459,-104.977196,2.3448809078507917,1478,1478,North Capitol Hill,,,,,
156,1756 N Clarkson St Apt 504,1,1,1.0,1.0,N/A,N/A,39.74446,-104.9772,2.345182553918045,1598,1598,North Capitol Hill,,,,,
157,360 S Monroe St,0,3,1.0,3.0,545,1830,39.71058,-104.94464,2.3453884181335534,1381,4397,Belcaro,Belcaro,64.0,42.0,84.0,4215.0
158,1756 N Clarkson St Apt 403,1,1,1.0,1.0,N/A,N/A,39.744459,-104.977295,2.350215397049981,1568,1568,North Capitol Hill,,,,,
159,1756 N Clarkson St Apt 303,1,1,1.0,1.0,N/A,N/A,39.744459,-104.977295,2.350215397049981,1568,1568,North Capitol Hill,,,,,
160,830 Dexter St Apt 9,1,1,1.0,1.0,N/A,N/A,39.729805,-104.932486,2.357830866309955,1045,1045,Hale,Hale,71.0,48.0,77.0,6942.0
161,4161 Shangri La Dr,3,3,2.0,2.0,N/A,N/A,39.714192,-104.938765,2.3809739620217165,4000,4000,Shangri La Heights,,,,,
162,825 Dahlia St,0,2,1.0,2.0,370,800,39.729895,-104.931956,2.403843766766188,1260,1575,Hale,Hale,71.0,48.0,77.0,6942.0
163,895 Dahlia St,2,2,1.0,1.0,950,950,39.730835,-104.931959,2.4146603064652767,1325,1325,Hale,Hale,71.0,48.0,77.0,6942.0
164,1400 Clermont St # 1400-3,2,2,1.0,1.0,1000,1000,39.738499,-104.934694,2.452666096205767,1550,1550,Bellevue,,,,,
165,2150-2170 Franklin St,2,2,1.0,1.0,650,650,39.74928,-104.96806,2.4591184417026737,1200,1275,City Park West,City Park West,85.0,55.0,95.0,4854.0
